,text,created_date,latitude,longitude,retweet,polarity,pol_value
136,@CentreRightPOV @BaraniShan3 @sujayak @_Kongu_ If hindusconsolidation similarto northtakes placesthen only BJP can… https://t.co/epYIz22GTQ,2019-04-28 00:54:47,,,0,Neutral,0.0
137,RT @MahilaCongress: None of the three members of the Gandhi family @smritiirani targeted is known to have uttered a single bad word about I…,2019-04-28 00:54:37,,,191,Negative,-0.39
138,RT @iainmarlow: This story is so bizarre -- even for India -- that I have nothing to add: A Hindu nun accused of bomb blasts that killed si…,2019-04-28 00:54:35,,,2561,Positive,0.1
139,"RT @Dharma2X: Senior BJP MP, Dr. @Swamy39 suggests PM Modi to speak in the favour of building the Ram temple during his Ayodhya rally..
htt…",2019-04-28 00:54:25,,,22,Neutral,0.0
140,RT @smarket: There is a reason BJP lost its way between 2003 and 2010. Just look at these leaders who were influential back then- 1. Yashwa…,2019-04-28 00:54:23,,,1817,Neutral,0.0
141,"RT @minicnair: Wonder why Arun Jaitley is not writing a blog on “How he lost his seat in 2014, despite a BJP wave???",2019-04-28 00:54:21,,,323,Neutral,0.0
142,RT @mrsfunnybones: Trying to paint 4 pictures in a 1000 words and if the BJP claim the cosmic black hole as their own-you know who to blame…,2019-04-28 00:54:20,,,210,Negative,-0.17
143,RT @smarket: There is a reason BJP lost its way between 2003 and 2010. Just look at these leaders who were influential back then- 1. Yashwa…,2019-04-28 00:54:16,,,1817,Neutral,0.0
144,"RT @IndianInterest: This dinosaur is clear about two things:

1. BJP's victory in the 2019 elections is a foregone conclusion. Modi will wi…",2019-04-28 00:54:14,,,636,Positive,0.1
145,RT @AashishKhetan: Karkare’s daughter breaks silence: ‘Don’t want to dignify her (Pragya’s) remark … my father taught us terror has no reli…,2019-04-28 00:54:14,,,29,Neutral,0.0
146,"RT @rupasubramanya: Contrary to all data including the government's, BJP spokesperson says farmers income have gone up by 50% in the last 5…",2019-04-28 00:54:11,,,247,Neutral,0.0
147,"RT @kunalkamra88: Pick the most successful scheme by the BJP govt in the past term : -

Swach Bharat. Skill India. Make in India. Deen Daya…",2019-04-28 00:54:10,,,894,Positive,0.33
148,"RT @zainabsikander: - @RahulGandhi ji
@ashokgehlot51 ji
@SachinPilot ji
So Muslims get beaten up and killed under BJP in Rajasthan.
And Mus…",2019-04-28 00:54:02,,,1123,Negative,-0.2
149,"RT @AmitShah: Seven highly decorated retired officers of Indian Armed Forces joined the BJP. I welcome them into the party fold.

This trus…",2019-04-28 00:53:59,,,2198,Positive,0.48
150,"RT @iPrakashthakur: Future generations ..Leader of Himachal 
BJP ......Himachal https://t.co/4gNFqM2RQO",2019-04-28 00:53:58,,,2,Neutral,0.0
151,@Sajjadullah1744 When there are no jobs and youth have no work at hand something would keep them busy may be making… https://t.co/E2To1UkkNr,2019-04-28 00:53:58,,,0,Positive,0.1
152,@waglenikhil BJP will get clear majority &amp; you are lier Congress formed minority Govt in process Congress goes to extent to bye MP,2019-04-28 00:53:57,,,0,Positive,0.1
